id,key,value,type
34374867,highway,footway,regular
34374868,highway,footway,regular
34374869,highway,footway,regular
34374870,highway,footway,regular
34374871,highway,footway,regular
34374872,highway,footway,regular
34374873,highway,footway,regular
34374874,highway,footway,regular
34374875,highway,footway,regular
34374876,highway,footway,regular
34374877,highway,footway,regular
34374878,highway,footway,regular
34374879,highway,footway,regular
34374880,highway,footway,regular
34374881,highway,footway,regular
34374882,highway,footway,regular
34374883,highway,footway,regular
34374884,highway,footway,regular
34374885,highway,footway,regular
34374886,highway,footway,regular
34374887,name,guangzhoudongwuyuan,regular
34374887,name:en,Guangzhou Zoological Garden,regular
34374887,name:zh,guangzhoudongwuyuan,regular
34374887,tourism,zoo,regular
34374888,natural,water,regular
34374888,water,pond,regular
34374890,natural,water,regular
34374890,water,pond,regular
34380668,highway,secondary,regular
34380668,name,linhedonglu,regular
34380668,name:en,Tiyu Rd. E.,regular
34380668,oneway,yes,regular
34380675,highway,tertiary,regular
34380675,oneway,yes,regular
34412222,highway,footway,regular
34412223,highway,footway,regular
34412224,highway,footway,regular
34412225,highway,footway,regular
34412226,highway,footway,regular
34412227,highway,footway,regular
34412227,layer,1,regular
34412228,highway,footway,regular
34412228,layer,1,regular
34412229,highway,footway,regular
34412229,layer,1,regular
34412230,highway,footway,regular
34412230,layer,2,regular
34412231,highway,steps,regular
34412232,highway,steps,regular
34412233,highway,footway,regular
34412235,landuse,basin,regular
34412236,landuse,basin,regular
34412236,layer,1,regular
34412237,building,commercial,regular
34412237,layer,2,regular
34412237,name,dongfangbaotaigouwuguangchang,regular
37953286,highway,motorway_link,regular
37953286,oneway,yes,regular
37953288,highway,motorway_link,regular
37953288,oneway,yes,regular
37953291,highway,motorway_link,regular
37953291,oneway,yes,regular
37953294,highway,motorway,regular
37953294,lanes,4,regular
37953294,name,huanankuaisuganxian,regular
37953294,oneway,yes,regular
37953294,ref,S303,regular
38804787,electrified,contact_line,regular
38804787,frequency,50,regular
38804787,gauge,1435,regular
38804787,railway,rail,regular
38804787,service,yard,regular
38804787,source,Yahoo hires,regular
38804787,voltage,25000,regular
38804865,electrified,contact_line,regular
38804865,frequency,50,regular
38804865,gauge,1435,regular
38804865,railway,rail,regular
38804865,service,yard,regular
38804865,source,Yahoo,regular
38804865,voltage,25000,regular
38804930,railway,rail,regular
38805059,landuse,railway,regular
38805094,gauge,1435,regular
38805094,railway,rail,regular
38805094,source,Yahoo,regular
38991909,electrified,contact_line,regular
38991909,frequency,50,regular
38991909,gauge,1435,regular
38991909,maxspeed,140,regular
38991909,railway,rail,regular
38991909,railway:traffic_mode,mixed,regular
38991909,usage,main,regular
38991909,voltage,25000,regular
39947472,layer,-1,regular
39947472,tunnel,yes,regular
39947472,waterway,canal,regular
39947489,railway,rail,regular
39947489,service,siding,regular
39947489,source,Yahoo,regular
39947502,layer,-1,regular
39947502,waterway,canal,regular
39947505,layer,-1,regular
39947505,tunnel,yes,regular
39947505,waterway,canal,regular
39948159,bridge,yes,regular
39948159,gauge,1435,regular
39948159,layer,1,regular
39948159,railway,rail,regular
39948159,source,Yahoo hires,regular
39948159,usage,main,regular
39948160,gauge,1435,regular
39948160,railway,rail,regular
39948160,usage,main,regular
39948167,bridge,yes,regular
39948167,gauge,1435,regular
39948167,layer,1,regular
39948167,railway,rail,regular
39948167,usage,main,regular
39948168,railway,rail,regular
39948213,bridge,yes,regular
39948213,gauge,1435,regular
39948213,layer,1,regular
39948213,railway,rail,regular
39948216,gauge,1435,regular
39948216,railway,rail,regular
39948217,bridge,yes,regular
39948217,layer,1,regular
39948217,railway,rail,regular
39948218,railway,rail,regular
39948220,gauge,1435,regular
39948220,railway,rail,regular
39948221,bridge,yes,regular
39948221,gauge,1435,regular
39948221,layer,1,regular
39948221,railway,rail,regular
39948225,railway,rail,regular
39948228,bridge,yes,regular
39948228,layer,1,regular
39948228,railway,rail,regular
39948229,railway,rail,regular
39948231,bridge,yes,regular
39948231,layer,1,regular
39948231,railway,rail,regular
39948245,gauge,1435,regular
39948245,railway,rail,regular
39948251,gauge,1435,regular
39948251,railway,rail,regular
39948299,bridge,yes,regular
39948299,gauge,1435,regular
39948299,layer,1,regular
39948299,railway,rail,regular
39948299,source,Yahoo,regular
39948300,gauge,1435,regular
39948300,railway,rail,regular
39948300,source,Yahoo,regular
39948928,bridge,viaduct,regular
39948928,highway,primary,regular
39948928,layer,1,regular
39948928,name,guangyuandonglu,regular
39948928,name:en,Guangyuan East Road,regular
39948928,oneway,yes,regular
39948928,source,Yahoo hires,regular
39949221,highway,trunk,regular
39949221,lanes,4,regular
39949221,name,guangyuankuaisulu,regular
39949221,oneway,yes,regular
39949221,source,Yahoo hires,regular
39949222,bridge,yes,regular
39949222,highway,trunk,regular
39949222,layer,1,regular
39949222,oneway,yes,regular
39949222,source,Yahoo hires,regular
39949223,bridge,yes,regular
39949223,highway,trunk,regular
39949223,lanes,4,regular
39949223,layer,2,regular
39949223,name,guangyuankuaisulu,regular
39949223,name:en,Guangyuan Expressway,regular
39949223,name:zh,guangyuankuaisulu,regular
39949223,oneway,yes,regular
39949223,source,Yahoo hires,regular
39949252,bridge,yes,regular
39949252,highway,trunk,regular
39949252,lanes,4,regular
39949252,layer,2,regular
39949252,name,guangyuankuaisulu,regular
39949252,name:en,Guangyuan Expressway,regular
39949252,name:zh,guangyuankuaisulu,regular
39949252,oneway,yes,regular
39949252,source,Yahoo hires,regular
39950378,highway,secondary,regular
39950378,name,chebeilu,regular
39950378,name:en,Chebei Road,regular
39950378,name:zh,chebeilu,regular
39950378,oneway,yes,regular
39950378,source,Yahoo hires,regular
40016147,bridge,viaduct,regular
40016147,highway,trunk,regular
40016147,layer,2,regular
40016147,name,guangzhoudadaozhong,regular
40016147,oneway,yes,regular
40016174,highway,trunk,regular
40016174,lanes,3,regular
40016174,layer,-1,regular
40016174,oneway,yes,regular
40016175,highway,trunk,regular
40016175,oneway,yes,regular
40016182,bridge,viaduct,regular
40016182,highway,trunk_link,regular
40016182,layer,2,regular
40016182,name,Inner Ring Highway,regular
40016182,oneway,yes,regular
40016187,bridge,viaduct,regular
40016187,highway,primary_link,regular
40016187,layer,3,regular
40016187,name,neihuanlu,regular
40016187,oneway,yes,regular
40016192,highway,trunk,regular
40016192,name,dongfengxilu,regular
40016192,oneway,yes,regular
40016192,source,bing,regular
40016195,highway,trunk,regular
40016195,layer,-1,regular
40016195,name,huangpudadaosuidao,regular
40016195,name:en,Whampoa Boulevard Flora Tunnel,regular
40016195,oneway,yes,regular
40016195,tunnel,yes,regular
40016198,highway,trunk_link,regular
40016198,name,neihuanlu,regular
40016198,oneway,yes,regular
40016208,highway,trunk,regular
40016208,layer,-1,regular
40016208,name,huangpudadaosuidao,regular
40016208,oneway,yes,regular
40016208,tunnel,yes,regular
40016211,highway,trunk,regular
40016211,name,huangpudadaosuidao,regular
40016211,oneway,yes,regular
40016214,highway,trunk,regular
40016214,name,huangpudadaosuidao,regular
40016214,oneway,yes,regular
40016219,bridge,viaduct,regular
40016219,highway,trunk_link,regular
40016219,layer,2,regular
40016219,oneway,yes,regular
40016236,bridge,viaduct,regular
40016236,highway,trunk_link,regular
40016236,layer,2,regular
40016236,oneway,yes,regular
40016583,highway,trunk,regular
40016583,lanes,4,regular
40016583,name,huangpudadaodong,regular
40016583,name:en,Whampoa Boulevard,regular
40016583,oneway,yes,regular
40018843,bridge,yes,regular
40018843,highway,trunk,regular
40018843,layer,1,regular
40018843,name,haiyindaqiao,regular
40018843,name:en,Haiying Bridge,regular
40018843,name:zh_pinyin,hǎi yìn dà qiáo,regular
40018843,oneway,yes,regular
40020600,highway,secondary_link,regular
40020600,oneway,yes,regular
40020600,source,bing,regular
40020604,bridge,viaduct,regular
40020604,highway,primary_link,regular
40020604,layer,2,regular
40020604,oneway,yes,regular
40020605,highway,trunk,regular
40020605,lanes,3,regular
40020605,name,guangzhoudadaozhong,regular
40020605,oneway,yes,regular
40020608,bridge,yes,regular
40020608,highway,secondary_link,regular
40020608,layer,1,regular
40020608,oneway,yes,regular
40020609,highway,trunk,regular
40020609,name,guangzhoudadaozhong,regular
40020609,oneway,yes,regular
40020610,bridge,viaduct,regular
